ID,trueAnnotation,Ignore,Annotation
https://www.idref.fr/027253953,"['Thèbes', 'Thēbai', 'Thèbes de Béotie', 'Thívai']",[],"['Thèbes', 'Thēbai', 'Thèbes de Béotie', 'Thívai']"
https://www.idref.fr/027277836,"['Olympia', 'Olympie']",[],"['Olympia', 'Olympie']"
https://www.idref.fr/02730793X,"['(طيبة (مصر', '(طيبة (مصر؛ مدينة قديمة', 'Het-Amon', '(طيبة (مدينة قديمة', 'Ṭībaẗ', 'Niout', 'Thèbes', 'Nout-Amon', 'Diospolis Magna', 'Ouaset']",[],"['( طيبة ( مصر', '( طيبة ( مصر؛ مدينة قديمة', 'Het-Amon', '( طيبة ( مدينة قديمة', 'Ṭībaẗ', 'Niout', 'Thèbes', 'Nout-Amon', 'Diospolis Magna', 'Ouaset']"
https://www.idref.fr/027398897,"['Cnossos', 'Palais']",[],"['Cnossos', 'Palais']"
https://www.idref.fr/027417158,"['Agrigente', 'Akragas', 'Acragas', 'Agrigento', 'Girgenti']",[],"['Agrigente', 'Akragas', 'Acragas', 'Agrigento', 'Girgenti']"
https://www.idref.fr/027523217,"['Amathous', 'Amathonte']",[],"['Amathous', 'Amathonte']"
https://www.idref.fr/027546608,['Samos'],[],['Samos']
https://www.idref.fr/027629279,"['Corfou', 'Corcyre', 'Paléopolis']",[],"['Corfou', 'Corcyre', 'Paléopolis']"
https://www.idref.fr/028228138,"['Dhelfi', 'Delfi', 'Delphes', 'Delphoi', 'Delphi', 'Dhelfoi']",[],"['Dhelfi', 'Delfi', 'Delphes', 'Delphoi', 'Delphi', 'Dhelfoi']"
https://www.idref.fr/028659635,"['Archaia agora', 'Agora', 'Agora grecque', 'Agora antique', ""Agora d'Athènes"", 'Athènes']",[],"['Archaia agora', 'Agora', 'Agora grecque', 'Agora antique', ""Agora d' Athènes"", 'Athènes']"
https://www.idref.fr/029178193,"['Bologne', '1860-....']",[],"['Bologne', '1860-... .']"
https://www.idref.fr/029570395,"[""Temple d'Apollon Pythien"", ""Temple d'Apollon"", 'Delphes', ""Grand temple d'Apollon"", ""Apollon Pythien, Temple d'"", ""Apollon, Temple d'""]",[],"[""Temple d' Apollon Pythien"", ""Temple d' Apollon"", 'Delphes', ""Grand temple d' Apollon"", ""Apollon Pythien , Temple d' "", ""Apollon , Temple d' ""]"
https://www.idref.fr/030121892,"['Athènes', 'Propylées']",[],"['Athènes', 'Propylées']"
https://www.idref.fr/031535739,['Élis'],[],['Élis']
https://www.idref.fr/032200447,"[""Mausolée d'Halicarnasse"", 'Tombeau du roi Mausole', 'Bodrum', ""Halicarnasse, Mausolée d'"", 'Mausolée']",[],"[""Mausolée d' Halicarnasse"", 'Tombeau du roi Mausole', 'Bodrum', ""Halicarnasse , Mausolée d' "", 'Mausolée']"
https://www.idref.fr/032462840,"['Palais', 'Malia']",[],"['Palais', 'Malia']"
https://www.idref.fr/032462859,"['Chrysolakkos', 'Nécropole de Chrysolakkos', 'Malia']",[],"['Chrysolakkos', 'Nécropole de Chrysolakkos', 'Malia']"
https://www.idref.fr/032616856,"['Dikili Tach', 'Dikili Tash']",[],"['Dikili Tach', 'Dikili Tash']"
https://www.idref.fr/033209952,['Antioche'],[],['Antioche']
https://www.idref.fr/034123431,"['Théâtre de Dionysos Eleuthereus', 'Théâtre de Dionysos', 'Athènes']",[],"['Théâtre de Dionysos Eleuthereus', 'Théâtre de Dionysos', 'Athènes']"
https://www.idref.fr/034592776,"['Agora', 'Argos']",[],"['Agora', 'Argos']"
https://www.idref.fr/035295473,"[""Temple classique d'Athéna Polias"", ""Athéna Polias, Temple classique d'"", 'Erechtheum', 'Acropole', 'Erékhtheion', 'Erechthaeum', 'Érechthéion', 'Athènes']",[],"[""Temple classique d' Athéna Polias"", ""Athéna Polias , Temple classique d' "", 'Erechtheum', 'Acropole', 'Erékhtheion', 'Erechthaeum', 'Érechthéion', 'Athènes']"
https://www.idref.fr/050189484,"['Patras', 'Pátrai', 'Pátra']",[],"['Patras', 'Pátrai', 'Pátra']"
https://www.idref.fr/078602653,"[""Temple d'Athéna Nikè"", ""Athéna la Victorieuse, Temple d'"", 'Acropole', ""Athéna Nikè, Temple d'"", ""Sanctuaire d'Athéna Nikè"", 'Temple de la Victoire Aptère', 'Victoire Aptère, Temple de la', ""Temple d'Athéna la Victorieuse"", 'Athènes']",[],"[""Temple d' Athéna Nikè"", ""Athéna la Victorieuse , Temple d' "", 'Acropole', ""Athéna Nikè , Temple d' "", ""Sanctuaire d' Athéna Nikè"", 'Temple de la Victoire Aptère', 'Victoire Aptère , Temple de la', ""Temple d' Athéna la Victorieuse"", 'Athènes']"
https://www.idref.fr/079151825,"['Temple de Héra', 'Argos']",[],"['Temple de Héra', 'Argos']"
https://www.idref.fr/080176003,['Brauron'],[],['Brauron']
https://www.idref.fr/109379527,"['Palais de Nestor', 'Pylos']",[],"['Palais de Nestor', 'Pylos']"
https://www.idref.fr/113853238,"[""Aphrodite, Sanctuaire d'"", 'Amathonte', ""Sanctuaire d'Aphrodite""]",[],"[""Aphrodite , Sanctuaire d' "", 'Amathonte', ""Sanctuaire d' Aphrodite""]"
https://www.idref.fr/115343598,"[""Sanctuaire d'Aphrodite dite Kypria"", ""Aphrodite, Sanctuaire d'"", ""Aphrodite dite Kypria, Sanctuaire d'"", '""Dame de Chypre"", Sanctuaire de la', ""Sanctuaire de l'Aphrodite chypriote"", 'Amathonte', ""Aphrodite de Chypre, Sanctuaire de l'"", ""Sanctuaire de l'Aphrodite de Chypre"", ""Sanctuaire d'Aphrodite Amathousia"", 'Sanctuaire de la ""Dame de Chypre""', ""Sanctuaire d'Aphrodite"", ""Aphrodite chypriote, Sanctuaire de l'"", ""Aphrodite Amathousia, Sanctuaire d'""]",[],"[""Sanctuaire d' Aphrodite dite Kypria"", ""Aphrodite , Sanctuaire d' "", ""Aphrodite dite Kypria , Sanctuaire d' "", '""Dame de Chypre"" , Sanctuaire de la', ""Sanctuaire de l' Aphrodite chypriote"", 'Amathonte', ""Aphrodite de Chypre , Sanctuaire de l' "", ""Sanctuaire de l' Aphrodite de Chypre"", ""Sanctuaire d' Aphrodite Amathousia"", 'Sanctuaire de la ""Dame de Chypre""', ""Sanctuaire d' Aphrodite"", ""Aphrodite chypriote , Sanctuaire de l' "", ""Aphrodite Amathousia , Sanctuaire d' ""]"
https://www.idref.fr/13062876X,['Agios Nikolaos'],[],['Agios Nikolaos']
https://www.idref.fr/130912212,"['Port', 'Thessalonique']",[],"['Port', 'Thessalonique']"
https://www.idref.fr/142351520,"[""Artémis, Sanctuaire d'"", 'Artémision', 'Thasos']",[],"[""Artémis , Sanctuaire d' "", 'Artémision', 'Thasos']"
https://www.idref.fr/159640156,"['Limni Megali Prespa', 'Vrygeis', 'Prespansko Jezero', 'Liqen i Prespës', 'Prespa, Lac', 'Lac Prespa']",[],"['Limni Megali Prespa', 'Vrygeis', 'Prespansko Jezero', 'Liqen i Prespës', 'Prespa , Lac', 'Lac Prespa']"
https://www.idref.fr/162021569,['Sovjan'],[],['Sovjan']
https://www.idref.fr/164918566,"['Sanctuaire de Zeus', 'Dodone', 'Zeus, Sanctuaire de']",[],"['Sanctuaire de Zeus', 'Dodone', 'Zeus , Sanctuaire de']"
https://www.idref.fr/168534452,"['Calamata', 'Kalamata']",[],"['Calamata', 'Kalamata']"
https://www.idref.fr/168560666,"['Amyclae', 'Amyklai', 'Amyclées', 'Amyklae', 'Amuklai']",[],"['Amyclae', 'Amyklai', 'Amyclées', 'Amyklae', 'Amuklai']"
https://www.idref.fr/182277747,['Lato'],[],['Lato']
https://www.idref.fr/182435466,"['Thespiaí', 'Thespiae', 'Thespies']",[],"['Thespiaí', 'Thespiae', 'Thespies']"
