,ID,trueAnnotation,Ignore,Annotation
953,https://www.idref.fr/033258767.rdf,"['Tūnat al-Jabal', 'Tounah el-Gebel', 'Touna el-Djebel', 'Tounah el-Djebel', 'Touna El-Gebel', 'Tūnat al-Jabal', 'Tuna el-Gebel', 'Tūnah al-Ǧabal', 'Hermoupolis magna', 'Touna-El Gabal', 'Tuna el-Gabal']",[],"['Tūnat al-Jabal', 'Tounah el-Gebel', 'Touna el-Djebel', 'Tounah el-Djebel', 'Touna El-Gebel', 'Tūnat al-Jabal', 'Tuna el-Gebel', 'Tūnah al-Ǧabal', 'Hermoupolis magna', 'Touna-El Gabal', 'Tuna el-Gabal']"
954,https://www.idref.fr/115898743.rdf,"['Maqbaraẗ Bytwzīrīs', 'Touna el-Djebel', 'Temple-tombeau de Petosiris', 'Tuna el-Gebel', 'Touna-El Gabal', 'Tūnat al-Jabal', 'Tounah el-Gebel', 'Tūnah al-Ǧabal', 'Touna el-Gebel', 'Tūnah al-Ǧabal', 'Tounah el-Djebel', 'Tūnat al-Jabal', 'Tombe de Petosiris', 'Hermoupolis magna', 'Tuna el-Gabal']",[],"['Maqbaraẗ Bytwzīrīs', 'Touna el-Djebel', 'Temple-tombeau de Petosiris', 'Tuna el-Gebel', 'Touna-El Gabal', 'Tūnat al-Jabal', 'Tounah el-Gebel', 'Tūnah al-Ǧabal', 'Touna el-Gebel', 'Tūnah al-Ǧabal', 'Tounah el-Djebel', 'Tūnat al-Jabal', 'Tombe de Petosiris', 'Hermoupolis magna', 'Tuna el-Gabal']"
955,https://www.idref.fr/192427164.rdf,"['Port externe', 'Amathonte', 'Εξωτερικό λιμάνι', 'Αμαθούντα']",[],"['Port externe', 'Amathonte', 'Εξωτερικό λιμάνι', 'Αμαθούντα']"
956,https://www.idref.fr/192337963.rdf,"[""Quartier à l'Ouest de l'agora"", ""Complexe à l'Ouest de l'agora"", 'Amathonte', 'Ville basse', 'Κάτω πόλη', 'Σύμπλεγμα δυτικά της αγοράς', 'Αμαθούντα']",[],"[""Quartier à l' Ouest de l' agora"", ""Complexe à l' Ouest de l' agora"", 'Amathonte', 'Ville basse', 'Κάτω πόλη', 'Σύμπλεγμα δυτικά της αγοράς', 'Αμαθούντα']"
957,https://www.idref.fr/192337130.rdf,"['Souterrain cultuel', 'Amathonte', 'Αμαθούντα', 'Υπόγειος λατρευτικός χώρος']",[],"['Souterrain cultuel', 'Amathonte', 'Αμαθούντα', 'Υπόγειος λατρευτικός χώρος']"
958,https://www.idref.fr/19242601X.rdf,"['Ayios Tykhonas', 'Amathonte', 'Εκκλησία του Αγίου Τύχωνα', 'Agios Tychonas', 'Église d’Agios Tychonas', 'Saint-Tykhon', 'Αμαθούντα']",[],"['Ayios Tykhonas', 'Amathonte', 'Εκκλησία του Αγίου Τύχωνα', 'Agios Tychonas', 'Église d’ Agios Tychonas', 'Saint-Tykhon', 'Αμαθούντα']"
959,https://www.idref.fr/182117146.rdf,"['Biban el-Muluk', 'Valley of the Kings', 'Ouadi el-Moulouk', 'Tombe KV 6', 'Bībān al-Mulūk', 'Bibân el Molûk', 'Tombeau de Ramsès IX', 'Thèbes', 'Bybân el-Molouk', 'Wadi el-Muluk', 'Tombe de Ramsès IX', 'Biban el-Moulouk', 'Tombe KV6', 'Biban al-Mūlūk', 'Wāw Mīm 6', 'Wādī al-mulūk', 'Vallée des Rois', 'Tombe 006', 'Maqbaraẗ Ramsīs al-tāsiʿ']",[],"['Biban el-Muluk', 'Valley of the Kings', 'Ouadi el-Moulouk', 'Tombe KV 6', 'Bībān al-Mulūk', 'Bibân el Molûk', 'Tombeau de Ramsès IX', 'Thèbes', 'Bybân el-Molouk', 'Wadi el-Muluk', 'Tombe de Ramsès IX', 'Biban el-Moulouk', 'Tombe KV6', 'Biban al-Mūlūk', 'Wāw Mīm 6', 'Wādī al-mulūk', 'Vallée des Rois', 'Tombe 006', 'Maqbaraẗ Ramsīs al-tāsiʿ']"
960,https://www.idref.fr/146574435.rdf,"['Biban el-Muluk', 'Valley of the Kings', 'Ouadi el-Moulouk', 'Bībān al-Mulūk', 'Tombe de Séti 1er', 'Bibân el Molûk', 'Tombeau de Séti Ier', 'Thèbes', 'Maqbaraẗ Sītī al-Awwal', 'Tombe de Séti Ier', 'Wādī bībān al-mulūk', 'Tombe KV 17', 'Bybân el-Molouk', 'Wadi el-Muluk', 'Tombe 017', 'Biban el-Moulouk', 'Biban al-Mūlūk', 'Wādī al-mulūk', 'Vallée des Rois', 'Tombe KV17', 'Tombe de Séthi 1er']",[],"['Biban el-Muluk', 'Valley of the Kings', 'Ouadi el-Moulouk', 'Bībān al-Mulūk', 'Tombe de Séti 1er', 'Bibân el Molûk', 'Tombeau de Séti Ier', 'Thèbes', 'Maqbaraẗ Sītī al-Awwal', 'Tombe de Séti Ier', 'Wādī bībān al-mulūk', 'Tombe KV 17', 'Bybân el-Molouk', 'Wadi el-Muluk', 'Tombe 017', 'Biban el-Moulouk', 'Biban al-Mūlūk', 'Wādī al-mulūk', 'Vallée des Rois', 'Tombe KV17', 'Tombe de Séthi 1er']"
961,https://www.idref.fr/027458318.rdf,"['Wādī bībān al-mulūk', 'Bībān al-Mulūk', 'Biban el-Muluk', 'Valley of the Kings', 'Nécropole de la vallée des Rois', 'Wādī al-mulūk', 'Bybân el-Molouk', 'Vallée des Rois', 'Wadi el-Muluk', 'Bibân el Molûk', 'Biban el-Moulouk', 'Ouadi el-Moulouk', 'Thèbes', 'Biban al-Mūlūk']",[],"['Wādī bībān al-mulūk', 'Bībān al-Mulūk', 'Biban el-Muluk', 'Valley of the Kings', 'Nécropole de la vallée des Rois', 'Wādī al-mulūk', 'Bybân el-Molouk', 'Vallée des Rois', 'Wadi el-Muluk', 'Bibân el Molûk', 'Biban el-Moulouk', 'Ouadi el-Moulouk', 'Thèbes', 'Biban al-Mūlūk']"
962,https://www.idref.fr/261110977.rdf,"['Terrain Lazaridis', 'Πλατεία πέρα από τη Δίοδο των θεωρών', 'Thasos', 'Πλατεία-κόμβος πέρα από τη Δίοδο των θεωρών', 'Place au sud du Passage des théores', 'Θάσος']",[],"['Terrain Lazaridis', 'Πλατεία πέρα από τη Δίοδο των θεωρών', 'Thasos', 'Πλατεία-κόμβος πέρα από τη Δίοδο των θεωρών', 'Place au sud du Passage des théores', 'Θάσος']"
963,https://www.idref.fr/26100882X.rdf,"['Οδός Ποσειδωνίου', 'Rue du Poséidonion', 'Θάσος', 'Thasos']",[],"['Οδός Ποσειδωνίου', 'Rue du Poséidonion', 'Θάσος', 'Thasos']"
964,https://www.idref.fr/261102524.rdf,"['Base anonyme 2', 'Ανώνυμη βάση 2', 'Θάσος', 'Thasos']",[],"['Base anonyme 2', 'Ανώνυμη βάση 2', 'Θάσος', 'Thasos']"
965,https://www.idref.fr/261100378.rdf,"['Ανώνυμη βάση 1', 'Base anonyme 1', 'Θάσος', 'Thasos']",[],"['Ανώνυμη βάση 1', 'Base anonyme 1', 'Θάσος', 'Thasos']"
